Duration (seconds),How familiar are you with your company's immigration policies?,How many employees work at your company?,What industry is your company in? (modified),What industry is your company in?,What state is your company headquartered in?,Do you have a written immigration policy today?,Does your company hire candidates on H-1B visas?,Do you require that the H-1B candidate has a minimum amount of time remaining in their overall 6-year maximum for them to be eligible for hire?,How many months must be remaining in their H-1B status (time before max out)? Please leave blank if unsure; use the arrow button below to move forward.,Months before H-1B maxout (modified),Are H-1B employees eligible for Green Card sponsorship?,How many months after the employee's start date are H-1B employees eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start date for GC eligibility from H-1B (modified),Does your company sponsor L-1 visas?,Are L-1 employees eligible for H-1B lottery sponsorship?,How many months after the L-1 employee's start date are they eligible for H-1B lottery sponsorship?Please leave blank if unsure; use the arrow button below to move forward.,Months before eligible for H-1B from L-1 (modified),Are L-1 employees eligible for Green Card sponsorship?,How many months after the L-1 employee's start date are they eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start date for GC eligibility from L-1 (modified),Does your company sponsor F-1 OPT visas?,Do you require that the F-1 OPT candidate has a minimum time period of OPT or STEM OPT remaining for them to be eligible for hire?,How many months must be remaining in their F-1 status (time before max out)?Please leave blank if unsure; use the arrow button below to move forward.,Months before F-1 OPT maxout (modified),"Does your company sponsor single intent visas (e.g. TN, E-2, E-3, O-1) that can be renewed indefinitely?",Are single intent visa employees eligible for H-1B lottery sponsorship?,How many months after the single intent visa employee's start date are they eligible for H-1B lottery sponsorship?Please leave blank if unsure; use the arrow button below to move forward.,Months before eligible for H-1B from single intent (modified),Are single intent visa employees eligible for Green Card sponsorship?,How many months after the single intent visa employee's start date are they eligible for initiation of a Green Card process?Please leave blank if unsure; use the arrow button below to move forward.,Months after start-date for GC eligibility from single intent (modified),How many months before an employee's status expiration do you initiate an extension?Please leave blank if unsure; use the arrow button below to move forward.,Months left before expiry to initiate extension (modified) ,When are employees eligible to start with your company after an H-1B transfer has been filed?,Does your company support the maintenance of the employee's underlying nonimmigrant visa once an I-485 is pending?,Do you limit which occupations/jobs you are willing to sponsor for a non-immigrant visa?,"To show that you are paying attention, please select ""none of the above"" option as your answer.","For PERM-based Green Cards, the employer is required to cover the cost of the PERM but either the employer or employee can cover the cost of the I-140 and I-485 processes. What portion of I-140 costs do you cover?",What portion of I-485 costs do you cover?,Do you cover Green Card processing costs for the employee's dependent family members?,"If an application is filed with USCIS' Premium Processing option, who covers the cost?",What portion of consular processing costs do you cover when an employee goes abroad to obtain a visa stamp?,Will you cover travel expenses related to consular processing of visa applications?,,Do you cover non-immigrant visa costs for the employee's dependent family members?,Do you have a liquidated damages clause that allows you to recoup immigration fees when an employee leaves your company within a specific time period?,What is the tenure threshold below which the liquidated damages clause applies in months?Please leave blank if unsure; use the arrow button below to move forward.,Tenure of liquidated damages clause (modified) ,What percent of damages are you seeking to recover?Please leave blank if unsure; use the arrow button below to move forward.,Percent of damages recovered (modified),Who is responsible for immigration costs at your company?,Do you share a complete copy of an employee's immigration filings with the employee to bring to consular appointments?,"Do you share case tracking numbers (e.g. receipt number, PERM case number) and government notices (e.g. receipt notice, approval notice) with the employee?",Session ID,Publish ID,Count of State Responses,Count of Industry Responses,SizeProxy,[AI]Proxy,Power of One
193,"It is a part of my job role, and I collaborate with others as needed","8. 10,000+",Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,TN,Yes,Yes,Yes,6,6,Yes,12,12,No,,,,,,,No,,,,No,,,,,,,3,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,Some,Some,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,Yes,24,24,100,100,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,9b5191b1-4e53-4ac4-b755-d536ae87f45d,2db2f506-d7e4-4075-a3ca-7f2bca81073d,12,98,#REF!,#REF!,1
245,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,AL,Yes,Yes,No,,,Yes,3,6,Yes,No,,,Yes,3,6,Yes,No,,,Yes,Yes,3,6,Yes,3,6,3,6,Immediately upon USCIS receipt of application,Yes,No,None of the above,All,All,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,All,No,,We cover some costs for dependent family members,Yes,36,36,40,50,Human Resources,Always,Yes,8fb46dd6-cdd5-4d7a-a8bc-e346be92b4b4,2db2f506-d7e4-4075-a3ca-7f2bca81073d,22,98,#REF!,#REF!,1
185,It is a primary function of my job role,3. 51-200,Retail & Consumer Durables,Retail & Consumer Durables,TX,Yes,Yes,Yes,3,6,Yes,3,6,Yes,Yes,2,6,Yes,3,6,No,,,,No,,,,,,,1,6,Upon USCIS approval,Yes,No,None of the above,Some,Some,I don't know,I don't know,I don't know,No,,We cover no costs for dependent family members,No,,,,,Human Resources,I don't know,I don't know,ec20b937-a97c-47e4-ba2a-e38622bdab79,2db2f506-d7e4-4075-a3ca-7f2bca81073d,52,46,#REF!,#REF!,1
123,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Education,Education,IL,No,Yes,Yes,,,I don't know,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,Some,I don't know,We cover no costs for dependent family members,I don't know,I don't know,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,Yes,1b4d4856-4d80-40a2-8075-689a4f7ac355,2db2f506-d7e4-4075-a3ca-7f2bca81073d,14,46,#REF!,#REF!,1
166,It is a primary function of my job role,4. 201-500,Education,Education,TX,Yes,Yes,No,,,Yes,5,6,No,,,,,,,No,,,,Yes,Yes,6,6,Yes,12,12,3,6,Upon USCIS issuance of receipt notice,Yes,No,None of the above,All,All,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover no costs for dependent family members,Yes,5,6,10,5,Human Resources,Always,Yes,56132557-7692-4751-ac04-5b1bf3b117ad,2db2f506-d7e4-4075-a3ca-7f2bca81073d,52,46,#REF!,#REF!,1
250,It is a primary function of my job role,3. 51-200,Manufacturing,Manufacturing,MA,No,Yes,No,,,Yes,12,12,No,,,,,,,No,,,,No,,,,,,,12,12,Upon USCIS issuance of receipt notice,I don't know,Yes,None of the above,Some,I don't know,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,Some,I don't know,,We cover some costs for dependent family members,Yes,,,50,50,Human Resources,Sometimes,Yes,8af95c45-3b5f-4c92-baa7-8784e7136f0f,2db2f506-d7e4-4075-a3ca-7f2bca81073d,10,37,#REF!,#REF!,1
216,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000","Utilities, Energy, and Extraction","Utilities, Energy, and Extraction",TX,Yes,Yes,Yes,12,12,No,,,No,,,,,,,No,,,,No,,,,,,,6,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,All,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,Yes,,We cover all costs for all dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,c96b9cb3-4793-4914-a5b3-63ae194e84b8,2db2f506-d7e4-4075-a3ca-7f2bca81073d,52,7,#REF!,#REF!,1
100,It is a primary function of my job role,4. 201-500,Manufacturing,Manufacturing,AL,No,No,,,,,,,Yes,Yes,12,12,I don't know,,,No,,,,Yes,Yes,12,12,I don't know,,,6,6,Upon USCIS issuance of receipt notice,I don't know,Yes,None of the above,Some,All,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,I don't know,,,,,Human Resources,Always,Yes,4e0c66cc-d951-4b2b-a992-2dc6206886da,2db2f506-d7e4-4075-a3ca-7f2bca81073d,22,37,#REF!,#REF!,1
251,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Business Support & Logistics,Personal service,MI,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,3,6,Upon USCIS approval,No,Yes,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,No,7d00c456-9960-4092-ba3a-cc9f2937293d,2db2f506-d7e4-4075-a3ca-7f2bca81073d,8,53,#REF!,#REF!,1
99,It is a primary function of my job role,3. 51-200,Health Care & Pharmaceuticals,Health Care & Pharmaceuticals,CA,Yes,Yes,Yes,3,6,Yes,2,6,Yes,Yes,2,6,Yes,2,6,No,,,,No,,,,,,,4,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,Some,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,3,6,3,5,Human Resources,Sometimes,Yes,b06280b8-3aa2-405f-95c9-a2125a5f79d8,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,98,#REF!,#REF!,1
135,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Nonprofit,Nonprofit,CA,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,Yes,Yes,None of the above,All,All,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,All,No,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,Yes,cc5fefc1-cb32-4a4f-84ba-8a994fa71771,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,15,#REF!,#REF!,1
215,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000",Business Support & Logistics,personal services,TX,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,No,Yes,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,No,118eaf1b-973d-4128-9855-b85d7c8b052e,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,53,#REF!,#REF!,1
74,It is a primary function of my job role,3. 51-200,Food & Beverages,Food & Beverages,CA,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,All,Some,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,None,Yes,,We cover all costs for all dependent family members,Yes,,,,,Human Resources,Sometimes,Yes,88121671-f0bb-4ce9-b03e-d0c6b7f88c0d,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,49,30,#REF!,#REF!,1
220,It is a primary function of my job role,"7. 5,001-10,000",Retail & Consumer Durables,Retail & Consumer Durables,AZ,Yes,Yes,No,,,Yes,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,Yes,Yes,None of the above,All,All,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover some costs for dependent family members,Yes,12,12,50,50,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,753fdfcf-0ea1-4900-9b48-920c63669c23,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,46,#REF!,#REF!,1
144,It is a primary function of my job role,"8. 10,000+",Transportation & Delivery,Transportation & Delivery,GA,Yes,Yes,Yes,12,12,Yes,10,12,Yes,No,,,Yes,10,12,No,,,,Yes,No,,,Yes,5,6,5,6,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,All,Some,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,No,,We cover some costs for dependent family members,Yes,10,12,10,5,Human Resources,Always,Yes,a17130a8-6483-4da5-a9e4-b263291ec8c8,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,26,9,#REF!,#REF!,1
95,It is a primary function of my job role,2. 11-50,Education,Education,PA,No,No,,,,,,,No,,,,,,,No,,,,Yes,Yes,3,6,Yes,3,6,1,6,Immediately upon USCIS receipt of application,No,No,None of the above,Some,All,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover some costs for dependent family members,No,,,,,Human Resources,Sometimes,Yes,5d295f4e-4ef9-4282-a853-eecceb49a1a1,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,21,46,#REF!,#REF!,1
341,It is a primary function of my job role,2. 11-50,Agriculture,Agriculture,LA,Yes,Yes,No,,,Yes,12,12,Yes,Yes,8,12,Yes,14,24,Yes,Yes,24,24,Yes,Yes,6,6,Yes,6,6,3,6,Upon USCIS issuance of receipt notice,Yes,Yes,None of the above,All,All,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,None,No,,We cover some costs for dependent family members,Yes,24,24,25,25,Human Resources,Always,Yes,afbb8d5e-a0cf-46b4-a008-2eab302eca03,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,9,8,#REF!,#REF!,1
83,It is a primary function of my job role,2. 11-50,Real Estate,Real Estate,AL,No,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,3,6,Immediately upon USCIS receipt of application,No,Yes,None of the above,All,Some,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,All,Yes,,We cover all costs for all dependent family members,Yes,2,6,3,5,Human Resources,Always,Yes,20617718-8900-47af-9531-eda5243b2992,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,22,7,#REF!,#REF!,1
231,It is a primary function of my job role,3. 51-200,Business Support & Logistics,Business Support & Logistics,WA,Yes,Yes,Yes,9,12,Yes,12,12,Yes,Yes,6,6,Yes,12,12,No,,,,Yes,Yes,12,12,Yes,9,12,12,12,Upon USCIS approval,Yes,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover some costs for dependent family members,Yes,12,12,75,75,Human Resources,Always,Yes,1b8db6a7-598d-4187-b2f9-6ce5344469bf,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,53,#REF!,#REF!,1
84,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Finance & Financial Services,Finance & Financial Services,CT,Yes,Yes,Yes,3,6,Yes,6,6,Yes,No,,,No,,,No,,,,No,,,,,,,6,6,Upon USCIS issuance of receipt notice,No,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,No,,We cover some costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,No,ca1c65dd-d811-4b87-9d28-9cc9921debee,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,5,24,#REF!,#REF!,1
103,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Retail & Consumer Durables,Retail & Consumer Durables,NC,Yes,Yes,Yes,8,12,Yes,5,6,No,,,,,,,No,,,,Yes,Yes,8,12,Yes,6,6,3,6,Upon USCIS issuance of receipt notice,No,Yes,None of the above,I don't know,Some,We cover all costs for all dependent family members,We always cover the cost when Premium Processing is used,Some,Yes,,We cover some costs for dependent family members,Yes,,,,,Human Resources,Sometimes,Yes,fe828bfc-6fec-4558-b1a5-41d56a1ffd7e,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,18,46,#REF!,#REF!,1
212,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Automotive,Automotive,TN,Yes,No,,,,,,,No,,,,,,,No,,,,No,,,,,,,3,6,Upon USCIS approval,Yes,No,None of the above,All,All,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover some costs for dependent family members,Yes,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Always,Yes,91ab2734-97e8-469d-98cf-3179c8569b66,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,12,13,#REF!,#REF!,1
203,"It is a part of my job role, and I collaborate with others as needed",4. 201-500,Agriculture,Agriculture,IN,No,Yes,No,,,I don't know,,,No,,,,,,,No,,,,Yes,Yes,,,No,,,,,Immediately upon USCIS receipt of application,Yes,Yes,None of the above,None,None,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,None,No,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,Yes,ffc8755c-b2ae-4393-b526-2cb3c5432a2f,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,7,8,#REF!,#REF!,1
473,"It is a part of my job role, and I collaborate with others as needed","5. 501-1,000",Retail & Consumer Durables,Retail & Consumer Durables,WA,No,Yes,Yes,36,36,Yes,12,12,Yes,Yes,12,12,Yes,12,12,Yes,Yes,12,12,Yes,Yes,12,12,Yes,12,12,12,12,Upon USCIS approval,Yes,No,None of the above,All,All,We cover no costs for dependent family members,We only cover the cost when necessary due to a business need,All,Yes,,We cover no costs for dependent family members,No,,,,,Human Resources,Always,Yes,91b3d8a9-0abf-4a82-96fb-fdbb643133a5,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,46,#REF!,#REF!,1
151,It is a primary function of my job role,3. 51-200,Business Support & Logistics,Personal service,TX,No,Yes,Yes,,,Yes,,,No,,,,,,,No,,,,No,,,,,,,,,Upon USCIS approval,Yes,No,None of the above,Some,Some,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,Some,No,,We cover some costs for dependent family members,No,,,,,"The specific department that is hiring (e.g. Engineering, Sales, etc.)",Sometimes,No,8f36a749-5cbf-4c2a-b7ef-ae0b72fff3e0,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,52,53,#REF!,#REF!,1
245,"It is a part of my job role, and I collaborate with others as needed","6. 1,001-5,000","Construction, Machinery and Homes","Construction, Machinery and Homes",WA,No,Yes,Yes,24,24,No,,,No,,,,,,,No,,,,No,,,,,,,3,6,Upon USCIS issuance of receipt notice,Yes,No,None of the above,All,All,We cover some costs for dependent family members,We only cover the cost when necessary due to a business need,Some,Yes,,We cover some costs for dependent family members,No,,,,,Human Resources,Never,No,46cfa6cc-3d27-4bd2-b84d-6f497f5d7962,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,10,47,#REF!,#REF!,1
125,"It is a part of my job role, and I collaborate with others as needed",3. 51-200,Education,Education,PA,No,Yes,Yes,36,36,Yes,1,6,No,,,,,,,No,,,,Yes,Yes,6,6,Yes,3,6,1,6,Upon USCIS approval,Yes,Yes,None of the above,Some,Some,We cover some costs for dependent family members,We always cover the cost when Premium Processing is used,Some,I don't know,,We cover some costs for dependent family members,Yes,36,36,10,5,Human Resources,Sometimes,No,d1fb4035-d5d6-48d0-8b47-1c54485a9ebd,9bb3c1fc-bbe2-478d-aa39-dfe9374b69de,21,46,#REF!,#REF!,1
